trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-204.37663527508903,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-193.58108456709073,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-184.86382254669408,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,12,-128.1257459192914,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-146.79126848364686,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-102.66824029297048,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-252.70016444360496,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-99.6681193177701,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-25.944495684229743,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-84.13817352582218,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-38.98015939341627,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-147.70091327670787,"{0: 23, 1: 1, 2: 9, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-139.78852777529679,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-103.70703799577319,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-25.76654236059519,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,12.68408768044377,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-99.01320337606988,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-89.36120548212435,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,16.656998761009554,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-89.44672668254682,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.020583717172666,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,4,-12.404609406669213,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,9,7.916737712228793,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,1,24.700800645063538,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-168.87591201037975,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 4}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,21.916242712005978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,3,-27.314066567536713,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,18.279852606662836,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,14,8.691907727512163,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-47.064606050205946,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
