trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 8.0}",25,15,-5.016596299606952,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': 4.0}",30,0,-278.3388249690659,"{0: 11, 1: 6, 2: 8, 3: 1, 4: 4}",0
3,False,"{'a': 0.8, 'e': 2.6666666666666665}",25,0,-141.9410710661911,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.8, 'e': 2.0}",25,0,-90.25858840545186,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.8, 'e': 1.6}",25,0,-175.5121920510707,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
6,False,"{'a': 0.8, 'e': 1.3333333333333333}",20,0,-111.96811287245693,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.8, 'e': 1.1428571428571428}",25,9,-43.248186284148574,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.8, 'e': 1.0}",20,0,-166.9897012477753,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.8888888888888888}",20,0,-101.47075473426882,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.8}",25,0,-170.6065083321958,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.7272727272727273}",25,0,-186.63537894226636,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.8, 'e': 0.6666666666666666}",30,8,-117.13421231923569,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.8, 'e': 0.6153846153846154}",20,0,-75.38830471463513,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.5714285714285714}",30,0,-87.9963044927072,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.5333333333333333}",20,0,-95.44324071723861,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.5}",20,9,3.4143801009406163,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.47058823529411764}",30,18,-0.7622973605482579,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.8, 'e': 0.4444444444444444}",25,0,-83.83231439163357,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.42105263157894735}",25,0,-30.435233819128637,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.4}",30,5,-22.590304496402954,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.38095238095238093}",20,0,3.411477444336608,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.36363636363636365}",20,0,-50.319457963328,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.34782608695652173}",35,22,9.635198432043937,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.3333333333333333}",25,1,-109.34962504367749,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 2}",1
25,False,"{'a': 0.8, 'e': 0.32}",20,12,13.647622184604527,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.3076923076923077}",30,17,-32.056929924509326,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.8, 'e': 0.2962962962962963}",25,8,-3.6463430470407765,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.2857142857142857}",20,13,-39.708360353058566,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.8, 'e': 0.27586206896551724}",30,8,-138.40352415125963,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 3}",1
30,False,"{'a': 0.8, 'e': 0.26666666666666666}",25,1,-18.369893509825612,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.8, 'e': 0.25806451612903225}",20,0,-49.051563594267094,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
32,False,"{'a': 0.8, 'e': 0.25}",25,0,-43.15629056330206,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.8, 'e': 0.24242424242424243}",20,1,-35.783742057998396,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
