trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-44.05353584362882,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-147.61703920628145,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-119.69688297980997,"{0: 11, 1: 8, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,0,-189.91985611274603,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-56.82202383450044,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-68.0839879157118,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-173.54648365857054,"{0: 8, 1: 4, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-127.41296293910925,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-105.14297296586372,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-144.17978582581878,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",35,0,-170.86129387819057,"{0: 19, 1: 2, 2: 11, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-194.65455567374772,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,3,-128.23182862019218,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-107.48103571414961,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-44.2707201590998,"{0: 15, 1: 8, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",35,0,-312.8464446624465,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 6}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-32.592678693868606,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-71.42230771235936,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",30,0,-166.77471113772702,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-59.884079856050825,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-8.738353262714796,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-40.44314943619757,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-19.82494628184507,"{0: 20, 1: 10, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-32.73123162065724,"{0: 10, 1: 10, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-41.51281149616206,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-16.72014610362327,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-3.653313895873067,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-16.027743587669555,"{0: 13, 1: 7, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-4.617472951558191,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-24.047921321388635,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
